"m","n","distribution","t_interval_lower","t_interval_upper","likelihood_mle_lower","likelihood_mle_upper","likelihood_lr_lower","likelihood_lr_upper","nonparametric_lower","nonparametric_upper"
20,10,"normal",-0.315447025473288,0.508364465368329,-0.516535835101875,0.665787123296199,-0.516535835101875,0.665787123296198,-0.315447025473288,0.508364465368329
20,10,"t",-0.34700945414401,0.685544046759899,-0.77772213823778,0.827548614151669,-0.77772213823778,0.827548614151669,-0.34700945414401,0.685544046759899
20,10,"gamma",1.06291756715174,2.60481925404664,0.910191958870685,2.74826412292358,0.910191958870685,2.74826412292358,1.06291756715174,2.60481925404664
20,10,"lognormal",0.834951452463996,2.47662342779743,0.528779635555873,2.85070463947161,0.528779635555871,2.85070463947161,0.834951452463996,2.47662342779743
20,10,"weibull",0.575833432867323,1.05335919589373,0.488792415949567,1.0513918881281,0.488792415949567,1.0513918881281,0.575833432867323,1.05335919589373
20,50,"normal",-0.241372143668511,0.329220720379841,-0.222234516283627,0.291041614480768,-0.222234516283627,0.291041614480769,-0.241372143668511,0.329220720379841
20,50,"t",-0.1646212349056,0.223566008944058,-0.25767056240059,0.421885084906028,-0.257670562400591,0.421885084906028,-0.1646212349056,0.223566008944058
20,50,"gamma",1.17350831987115,1.70024125236058,1.2153594171202,1.84488693059187,1.2153594171202,1.84488693059187,1.17350831987115,1.70024125236058
20,50,"lognormal",1.24922923828776,2.05147444529834,1.11704249774623,2.05208768853064,1.11704249774623,2.05208768853064,1.24922923828776,2.05147444529834
20,50,"weibull",0.789566039751731,0.930563502277297,0.721417321210873,0.969263476957991,0.721417321210874,0.969263476957991,0.789566039751731,0.930563502277297
20,100,"normal",-0.0674948120385738,0.196663403815738,-0.0885060037812652,0.269317821053678,-0.0885060037812648,0.269317821053679,-0.0674948120385738,0.196663403815738
20,100,"t",-0.0886505397869454,0.282883034109361,-0.116695173986035,0.33571144202842,-0.116695173986034,0.335711442028421,-0.0886505397869454,0.282883034109361
20,100,"gamma",1.53844289973072,1.91068163712481,1.50258142386486,1.9404177207076,1.50258142386486,1.9404177207076,1.53844289973072,1.91068163712481
20,100,"lognormal",1.40870798875376,1.79793319799609,1.31501623216508,1.99007473667771,1.31501623216508,1.9900747366777,1.40870798875376,1.79793319799609
20,100,"weibull",0.813197098166772,0.942972945318681,0.795657150690465,0.974956428062647,0.795657150690465,0.974956428062646,0.813197098166772,0.942972945318681
20,1000,"normal",-0.0601869629487017,0.0609317147441424,-0.0453380255086618,0.0775937573784377,-0.0453380255086602,0.0775937573784393,-0.0601869629487017,0.0609317147441424
20,1000,"t",-0.0773300930453644,0.00499227606076477,-0.0919400360172709,0.0513613158841806,-0.0919400360172699,0.0513613158841816,-0.0773300930453644,0.00499227606076477
20,1000,"gamma",1.79999307476302,1.94929729145033,1.79981424436112,1.96011579797153,1.79981424436111,1.96011579797152,1.79999307476302,1.94929729145033
20,1000,"lognormal",1.54687675666554,1.7827400756825,1.5409182384586,1.80245514806289,1.54091823845859,1.80245514806288,1.54687675666554,1.7827400756825
20,1000,"weibull",0.866289747597653,0.91698265867612,0.8615168323587,0.918877187852133,0.861516832358701,0.918877187852134,0.866289747597653,0.91698265867612
50,10,"normal",-0.467280307473657,0.506531495649777,-0.516535835101875,0.665787123296199,-0.516535835101875,0.665787123296198,-0.467280307473657,0.506531495649777
50,10,"t",-0.603855009512636,0.640066061085973,-0.77772213823778,0.827548614151669,-0.77772213823778,0.827548614151669,-0.603855009512636,0.640066061085973
50,10,"gamma",1.03405359436069,2.60507340608047,0.910191958870685,2.74826412292358,0.910191958870685,2.74826412292358,1.03405359436069,2.60507340608047
50,10,"lognormal",0.763060347319274,2.45899131303717,0.528779635555873,2.85070463947161,0.528779635555871,2.85070463947161,0.763060347319274,2.45899131303717
50,10,"weibull",0.571321036124547,1.008296953862,0.488792415949567,1.0513918881281,0.488792415949567,1.0513918881281,0.571321036124547,1.008296953862
50,50,"normal",-0.185716418699928,0.298831761763424,-0.222234516283627,0.291041614480768,-0.222234516283627,0.291041614480769,-0.185716418699928,0.298831761763424
50,50,"t",-0.214503370807202,0.374780883098077,-0.25767056240059,0.421885084906028,-0.257670562400591,0.421885084906028,-0.214503370807202,0.374780883098077
50,50,"gamma",1.20048634758723,1.82028891139204,1.2153594171202,1.84488693059187,1.2153594171202,1.84488693059187,1.20048634758723,1.82028891139204
50,50,"lognormal",1.21808098796971,2.15056077589023,1.11704249774623,2.05208768853064,1.11704249774623,2.05208768853064,1.21808098796971,2.15056077589023
50,50,"weibull",0.757426871681254,0.937673069984052,0.721417321210873,0.969263476957991,0.721417321210874,0.969263476957991,0.757426871681254,0.937673069984052
50,100,"normal",-0.101867885318664,0.276829391287275,-0.0885060037812652,0.269317821053678,-0.0885060037812648,0.269317821053679,-0.101867885318664,0.276829391287275
50,100,"t",-0.145636552855968,0.281341297097037,-0.116695173986035,0.33571144202842,-0.116695173986034,0.335711442028421,-0.145636552855968,0.281341297097037
50,100,"gamma",1.50118705146332,1.95877618763486,1.50258142386486,1.9404177207076,1.50258142386486,1.9404177207076,1.50118705146332,1.95877618763486
50,100,"lognormal",1.38276224902364,1.88639263324182,1.31501623216508,1.99007473667771,1.31501623216508,1.9900747366777,1.38276224902364,1.88639263324182
50,100,"weibull",0.810566913289248,0.956428774980281,0.795657150690465,0.974956428062647,0.795657150690465,0.974956428062646,0.810566913289248,0.956428774980281
50,1000,"normal",-0.058668966181907,0.0655035517102592,-0.0453380255086618,0.0775937573784377,-0.0453380255086602,0.0775937573784393,-0.058668966181907,0.0655035517102592
