"m","n","distribution","expected_params","bs_mean","t_interval_lower","t_interval_upper","likelihood_mle_lower","likelihood_mle_upper","likelihood_lr_lower","likelihood_lr_upper","nonparametric_lower","nonparametric_upper"
200,10,"normal","mean=0, sd=1",0.0838225684452739,-0.475739863408871,0.643385000299418,-0.516535835101875,0.665787123296199,-0.516535835101875,0.665787123296198,-0.475739863408871,0.643385000299418
200,10,"t","df=10",0.080376969873358,-0.573581446608358,0.734335386355074,-0.77772213823778,0.827548614151669,-0.77772213823778,0.827548614151669,-0.573581446608358,0.734335386355074
200,10,"gamma","shape=2, rate=1",1.77881285625156,0.97612609918853,2.58149961331458,0.910191958870685,2.74826412292358,0.910191958870685,2.74826412292358,0.97612609918853,2.58149961331458
200,10,"lognormal","meanlog=0, sdlog=1",1.76782387432744,0.696166479799406,2.83948126885547,0.528779635555873,2.85070463947161,0.528779635555871,2.85070463947161,0.696166479799406,2.83948126885547
200,10,"weibull","shape=2, scale=1",0.792705619358099,0.543861763131117,1.04154947558508,0.488792415949567,1.0513918881281,0.488792415949567,1.0513918881281,0.543861763131117,1.04154947558508
200,50,"normal","mean=0, sd=1",0.0453826312350932,-0.192427901810799,0.283193164280986,-0.222234516283627,0.291041614480768,-0.222234516283627,0.291041614480769,-0.192427901810799,0.283193164280986
200,50,"t","df=10",0.0664076186340967,-0.240474015498952,0.373289252767145,-0.25767056240059,0.421885084906028,-0.257670562400591,0.421885084906028,-0.240474015498952,0.373289252767145
200,50,"gamma","shape=2, rate=1",1.50998835407223,1.18657508867019,1.83340161947428,1.2153594171202,1.84488693059187,1.2153594171202,1.84488693059187,1.18657508867019,1.83340161947428
200,50,"lognormal","meanlog=0, sdlog=1",1.63150371446466,1.18149247541397,2.08151495351536,1.11704249774623,2.05208768853064,1.11704249774623,2.05208768853064,1.18149247541397,2.08151495351536
200,50,"weibull","shape=2, scale=1",0.84656647358239,0.733778089969054,0.959354857195727,0.721417321210873,0.969263476957991,0.721417321210874,0.969263476957991,0.733778089969054,0.959354857195727
