"m","n","distribution","analytic_mean","bs_mean","BS_t_interval_lower","analytic_t_interval_lower","BS_t_interval_upper","analytic_t_interval_upper","analytic_se","BS_likelihood_mle_lower","BS_likelihood_lr_lower","BS_nonparametric_lower","BS_likelihood_mle_upper","BS_likelihood_lr_upper","BS_nonparametric_upper"
200,10,"normal",0,0.0838225684452739,-0.475739863408871,-0.619806421393002,0.643385000299418,0.619806421393002,0.316227766016838,-0.516535835101875,-0.516521175394773,-0.475739863408871,0.665787123296199,0.665774526889046,0.643385000299418
200,10,"t",0,0.080376969873358,-0.573581446608358,-0.692964645562816,0.734335386355074,0.692964645562816,0.353553390593274,-0.77772213823778,-0.77770338921598,-0.573581446608358,0.827548614151669,0.827529554137777,0.734335386355074
200,10,"gamma",2,1.77881285625156,0.97612609918853,1.12346135282008,2.58149961331458,2.87653864717992,0.447213595499958,0.910191958870685,0.910189279355108,0.97612609918853,2.74826412292358,2.7482472429108,2.58149961331458
200,10,"lognormal",1.64872127070013,1.76782387432744,0.696166479799406,0.30919723443039,2.83948126885547,2.98824530696987,0.683430630749867,0.528779635555873,0.528804586985113,0.696166479799406,2.85070463947161,2.85071359727234,2.83948126885547
200,10,"weibull",1.77245385090552,0.792705619358099,0.543861763131117,1.19820149679894,1.04154947558508,2.34670620501209,0.292985894952335,0.488792415949567,0.488791169515714,0.543861763131117,1.0513918881281,1.05137361098177,1.04154947558508
200,50,"normal",0,0.0453826312350932,-0.192427901810799,-0.277185858225127,0.283193164280986,0.277185858225127,0.14142135623731,-0.222234516283627,-0.222201303862173,-0.192427901810799,0.291041614480768,0.29104797108057,0.283193164280986
200,50,"t",0,0.0664076186340967,-0.240474015498952,-0.309903210696501,0.373289252767145,0.309903210696501,0.158113883008419,-0.25767056240059,-0.257659935638279,-0.240474015498952,0.421885084906028,0.421877802247925,0.373289252767145
200,50,"gamma",2,1.50998835407223,1.18657508867019,1.608,1.83340161947428,2.392,0.2,1.2153594171202,1.21536584368923,1.18657508867019,1.84488693059187,1.84487852227164,1.83340161947428
200,50,"lognormal",1.64872127070013,1.63150371446466,1.18149247541397,1.04966791018132,2.08151495351536,2.24777463121893,0.305639469652452,1.11704249774623,1.1170563303709,1.18149247541397,2.05208768853064,2.05210000352734,2.08151495351536
200,50,"weibull",1.77245385090552,0.84656647358239,0.733778089969054,1.5156403909012,0.959354857195727,2.02926731090983,0.131027275512407,0.721417321210873,0.721421151663903,0.733778089969054,0.969263476957991,0.969286751329869,0.959354857195727
200,100,"normal",0,0.103279429619569,-0.0903045614101958,-0.196,0.296863420649334,0.196,0.1,-0.0885060037812652,-0.0884981167482067,-0.0903045614101958,0.269317821053678,0.269313296277802,0.296863420649334
200,100,"t",0,0.111838172786943,-0.103359668919978,-0.219134661794979,0.327036014493864,0.219134661794979,0.11180339887499,-0.116695173986035,-0.116690514527878,-0.103359668919978,0.33571144202842,0.335695890809306,0.327036014493864
200,100,"gamma",2,1.70183363076886,1.49323876788944,1.72281414177487,1.91042849364829,2.27718585822513,0.14142135623731,1.50258142386486,1.50259827616402,1.49323876788944,1.9404177207076,1.94044298708843,1.91042849364829
200,100,"lognormal",1.64872127070013,1.75246095674059,1.37669564081477,1.22512657718469,2.12822627266642,2.07231596421557,0.216119741589509,1.31501623216508,1.31502354785862,1.37669564081477,1.99007473667771,1.99006755671786,2.12822627266642
200,100,"weibull",1.77245385090552,0.891239595610595,0.807172901320026,1.59085931183648,0.975306289901164,1.95404838997455,0.0926502750352208,0.795657150690465,0.795632172239498,0.807172901320026,0.974956428062647,0.974954248524605,0.975306289901164
200,1000,"normal",0,0.00765962863781696,-0.0508864979706629,-0.0619806421393002,0.0662057552462968,0.0619806421393002,0.0316227766016838,-0.0453380255086618,-0.0453064406830156,-0.0508864979706629,0.0775937573784377,0.0775914044826883,0.0662057552462968
200,1000,"t",0,-0.0134190570563276,-0.09387350144206,-0.0692964645562817,0.0670353873294047,0.0692964645562817,0.0353553390593274,-0.0919400360172709,-0.0919207662003981,-0.09387350144206,0.0513613158841806,0.0513560705844982,0.0670353873294047
200,1000,"gamma",2,1.88388922419779,1.8005342605101,1.91234613528201,1.96724418788548,2.08765386471799,0.0447213595499958,1.79981424436112,1.79983332623091,1.8005342605101,1.96011579797153,1.96013433925185,1.96724418788548
200,1000,"lognormal",1.64872127070013,1.67431168756615,1.54474378895981,1.51476886707315,1.80387958617249,1.7826736743271,0.0683430630749867,1.5409182384586,1.54092213151282,1.54474378895981,1.80245514806289,1.80245205340608,1.80387958617249
200,1000,"weibull",1.77245385090552,0.887316250339704,0.857172551936878,1.71502861549486,0.917459948742529,1.82987908631617,0.0292985894952335,0.8615168323587,0.861519406771417,0.857172551936878,0.918877187852133,0.918872686109055,0.917459948742529
500,10,"normal",0,0.0878789483398604,-0.449697017307127,-0.619806421393002,0.625454913986848,0.619806421393002,0.316227766016838,-0.516535835101875,-0.516521175394773,-0.449697017307127,0.665787123296199,0.665774526889046,0.625454913986848
500,10,"t",0,0.00583515995021217,-0.707625240227182,-0.692964645562816,0.719295560127606,0.692964645562816,0.353553390593274,-0.77772213823778,-0.77770338921598,-0.707625240227182,0.827548614151669,0.827529554137777,0.719295560127606
500,10,"gamma",2,1.8016375797521,0.94083357682687,1.12346135282008,2.66244158267733,2.87653864717992,0.447213595499958,0.910191958870685,0.910189279355108,0.94083357682687,2.74826412292358,2.7482472429108,2.66244158267733
